date,qa_start_min,qa_start_sec,qa_start,gap_start,gap_end_min,gap_end_sec,gap_end
1_23_17,9,47,587,,,,
1_24_17,8,23,503,,,,
1_25_17,8,10,490,,,,
1_30_17,16,13,973,,,,
1_31_17,11,36,696,,,,
2_1_17,11,59,719,580,11,29,689
2_2_17,8,3,483,,,,
2_3_17,7,24,444,,,,
2_7_17,9,5,545,,,,
2_8_17,7,52,472,,,,
2_9_17,8,54,534,,,,
2_14_17,15,24,924,0,4,23,263
2_21_17,8,11,491,,,,
2_22_17,5,35,335,,,,
2_23_17,6,0,360,,,,
2_27_17,14,19,859,0,6,31,391
3_7_17,37,43,2263,0,29,50,1790
3_8_17,5,49,349,,,,
3_9_17,6,25,385,,,,
3_10_17,8,11,491,,,,
3_13_17,7,33,453,,,,
3_14_17,6,29,389,,,,
3_16_17,35,36,2136,672,34,50,2090
3_20_17,8,2,482,,,,
3_21_17,9,55,595,,,,
3_22_17,7,18,438,,,,
3_23_17,8,58,538,,,,
3_24_17,7,10,430,,,,
3_27_17,19,4,1144,0,10,35,635
3_28_17,9,6,546,,,,
3_29_17,7,20,440,,,,
3_30_17,10,10,610,,,,
3_31_17,11,32,692,,,,
4_3_17,14,4,844,0,9,40,580
4_10_17,6,22,382,,,,
4_11_17,4,20,260,,,,
4_13_17,6,12,372,,,,
4_17_17,2,38,158,,,,