date,link
1_23,http://video.google.com/timedtext?lang=en&v=hTpoxrEbKFk&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=45
1_24,http://video.google.com/timedtext?lang=en&v=lVDjve9I8WQ&index=44&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
1_25,http://video.google.com/timedtext?lang=en&v=OaPriMVvtZA&index=43&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
1_30,http://video.google.com/timedtext?lang=en&v=b9NS-HTYba4&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=41
1_31,http://video.google.com/timedtext?lang=en&v=CMbNqxRfDXM&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=40
2_1,http://video.google.com/timedtext?lang=en&v=F855i1Tzx_g&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=39
2_2,http://video.google.com/timedtext?lang=en&v=bqoWh6vVvs0&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=38
2_3,http://video.google.com/timedtext?lang=en&v=BWbcwCaHBBY
2_7,http://video.google.com/timedtext?lang=en&v=f1VuuA_y5Nw&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=37
2_8,http://video.google.com/timedtext?lang=en&v=XOO5Bk98vDk&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=36
2_9,http://video.google.com/timedtext?lang=en&v=aOZecunu1VY&index=35&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
2_14,http://video.google.com/timedtext?lang=en&v=9C4LrbBgL4I&index=32&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
2_21,http://video.google.com/timedtext?lang=en&v=e82NpqDWex0&index=29&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
2_22,http://video.google.com/timedtext?lang=en&v=xJZkZYnFV7w&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=28
2_23,http://video.google.com/timedtext?lang=en&v=2kagnaxYUPc&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=27
2_27,http://video.google.com/timedtext?lang=en&v=bJzDOXNhhW4&index=26&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
3_7,http://video.google.com/timedtext?lang=en&v=8nH9zG-4Ibk&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=25
3_8,http://video.google.com/timedtext?lang=en&v=7n--c4Tr-z8&index=24&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
3_9,http://video.google.com/timedtext?lang=en&v=NXF2YgV8WGQ&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=23
3_10,http://video.google.com/timedtext?lang=en&v=76x5ZVb_Mxc&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=22
3_13,http://video.google.com/timedtext?lang=en&v=kHopvTWQeAQ&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=21
3_14,http://video.google.com/timedtext?lang=en&v=P8-3QWGErsk&index=20&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
3_16,http://video.google.com/timedtext?lang=en&v=b1fi7mo4s5s&index=19&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI
3_20,http://video.google.com/timedtext?lang=en&v=B8dOXMO5bTE&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=17
3_21,http://video.google.com/timedtext?lang=en&v=kbB8qVKC1Zk
3_22,http://video.google.com/timedtext?lang=en&v=GT_Nanf58ho&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=15
3_23,http://video.google.com/timedtext?lang=en&v=ZmeaPwHI_WU&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=14
3_24,http://video.google.com/timedtext?lang=en&v=k_YQYofk99I&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=13
3_27,http://video.google.com/timedtext?lang=en&v=j5F7C6_9JRc&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=12
3_28,http://video.google.com/timedtext?lang=en&v=VyVXed2gRD8&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=11
3_29,http://video.google.com/timedtext?lang=en&v=9TntylpsHzY&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=10
3_30,http://video.google.com/timedtext?lang=en&v=Tb1wrAV3Eyg&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=9
3_31,http://video.google.com/timedtext?lang=en&v=Nr8Mu0-vPsQ&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=8
4_3,http://video.google.com/timedtext?lang=en&v=I9vpDknbBUs
4_10,http://video.google.com/timedtext?lang=en&v=NYurJfUet_E&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=5
4_11,http://video.google.com/timedtext?lang=en&v=a-oCjNGPlQs
4_13,http://video.google.com/timedtext?lang=en&v=He4x6rfwRRM&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=2
4_17,http://video.google.com/timedtext?lang=en&v=u-6V8bUFxDw&list=PLRJNAhZxtqH_3Nl-7n1vhgTUHyFSuQ0nI&index=1
4_24,http://video.google.com/timedtext?lang=en&v=3IH5a6brHc0&t=17s
4_25,http://video.google.com/timedtext?lang=en&v=JhYcU_V7IL0